Average_Fitness, Best_Fitness
0.186806, 0.276923
0.237934, 0.327778
0.256015, 0.327778
0.252769, 0.32906
0.245291, 0.32906
0.248761, 0.32906
0.281496, 0.32906
0.286838, 0.32906
0.293761, 0.32906
0.300103, 0.32906
